C1_R,C1_NR,C2_R,C2_NR,C3_R,C3_NR,CC_R,CC_NR,TimeTaken,Likert
H,L,M,M,L,H,M,M,9858,FC
H,L,M,M,L,H,M,M,3231,FC
H,L,M,M,L,H,M,M,7471,FC
H,L,M,M,L,H,L,H,4117,CC
H,L,M,M,L,H,L,H,4689,CC
H,L,M,M,L,H,M,M,6052,CC
H,L,M,M,L,H,M,M,3102,CC
H,L,M,M,L,H,M,M,3238,FC
H,L,M,M,L,H,L,H,9476,CC
H,L,M,M,L,H,M,M,33488,FC
H,L,M,M,L,H,M,M,16056,CC
H,L,M,M,L,H,M,M,5816,CC
H,L,M,M,L,H,L,H,1912,CC
H,L,M,M,L,H,M,M,10928,FC
H,L,M,M,L,H,L,H,4100,FC
H,L,M,M,L,H,M,M,8243,CC
H,L,M,M,L,H,M,M,40815,FC
H,L,M,M,L,H,M,M,8188,SLC
H,L,M,M,L,H,M,M,5438,SC
H,L,M,M,L,H,L,H,5126,CC
H,L,M,M,L,H,M,M,2481,FC
H,L,M,M,L,H,M,M,10074,SC
H,L,M,M,L,H,L,H,10332,FC
H,L,M,M,L,H,L,H,8091,FC
H,L,M,M,L,H,M,M,7023,FC
H,L,M,M,L,H,L,H,7201,FC
L,M,M,H,H,L,L,M,8143,CC
L,M,M,H,H,L,M,H,3071,CC
L,M,M,H,H,L,M,H,4477,CC
L,M,M,H,H,L,H,L,9939,FC
L,M,M,H,H,L,M,H,3647,CC
L,M,M,H,H,L,M,H,3475,FC
L,M,M,H,H,L,M,H,7324,FC
L,M,M,H,H,L,M,H,5255,CC
L,M,M,H,H,L,M,H,9072,FC
L,M,M,H,H,L,M,H,6032,CC
L,M,M,H,H,L,M,H,4375,CC
L,M,M,H,H,L,M,H,1360,CC
L,M,M,H,H,L,H,L,4902,SC
L,M,M,H,H,L,M,H,3882,FC
L,M,M,H,H,L,M,H,6440,FC
L,M,M,H,H,L,M,H,17025,FC
L,M,M,H,H,L,H,L,9544,SLC
L,M,M,H,H,L,H,L,18007,SC
L,M,M,H,H,L,M,H,7980,FC
L,M,M,H,H,L,M,H,3990,FC
L,M,M,H,H,L,M,H,9058,SC
L,M,M,H,H,L,H,L,10601,CC
L,M,M,H,H,L,M,H,7276,CC
L,M,M,H,H,L,M,H,40409,FC
L,M,M,H,H,L,L,M,13591,SC
